cover,website,book_id,author,description,title,category_id,pages,isbn,rating,type
https://images-na.ssl-images-amazon.com/images/I/91Q5dCjc2KL.jpg,https://books.google.ae/books?id=rxEvDAAAQBAJ&printsec=frontcover,10894aa3-d961-4359-96f5-6ab8d42c35e7,Dan Brown,The Da Vinci Code is a 2003 mystery thriller novel by Dan Brown. It is Brown's second novel to include the character Robert Langdon: the first was his 2000 novel Angels & Demons.,Da Vinci Code,63ebe5b0-f467-4d54-87c6-c9a1da2ad472,689,9.78031E+12,2,Fiction
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY475_.jpg,https://www.google.co.in/books/edition/The_Kite_Runner/MH48bnzN0LUC?hl=en&gbpv=1&dq=kite+runner&printsec=frontcover,b61148b2-e688-4e46-a5e5-a8875d5117f6,Khaled Hosseini,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.",The Kite Runner,f377c3e9-ff2c-45b2-bf01-b5f20993cd54,371,9.7811E+12,4,General
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005l/4214.jpg,https://www.google.co.in/books/edition/Life_of_Pi/reCItgAACAAJ?hl=en,c85d266d-5877-4326-bd83-caa7b8ff74f3,Yann Martel,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor  Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",Life of Pi,63ebe5b0-f467-4d54-87c6-c9a1da2ad472,319,9.78086E+12,5,Fiction
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495796544l/32705383._SX318_.jpg,https://www.google.co.in/books/edition/Fullstack_React/ppjUtAEACAAJ?hl=en,0975f743-0b41-4011-8dfe-3a7a38c6229a,Anthony Accomazzo,"LEARN REACT THE RIGHT WAY with the up-to-date, in-depth, complete book to React and the React ecosystem.Master React in less time, with solid foundations, without beating your head against the wall. Quickly get to work - or get that job - with the right tools and the best practices.",Fullstack React: The Complete Guide to ReactJS and Friends,50fe8bb3-c22b-4cf8-8f61-9334ee69e7a7,836,9.78099E+12,3,React
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442460745l/840._SY475_.jpg,https://www.google.co.in/books/edition/The_Design_of_Everyday_Things/I1o4DgAAQBAJ?hl=en&gbpv=1&dq=the+design+of+everyday+things&printsec=frontcover,2f1c797a-260f-41cc-a404-08eb186ca60a,Donald A. Norman,"Anyone who designs anything to be used by humans -- from physical objects to computer programs to conceptual tools -- must read this book, and it is an equally tremendous read for anyone who has to use anything created by another human. It could forever change how you experience and interact with your physical surroundings, open your eyes to the perversity of bad design and the desirability of good design, and raise your expectations about how things should be designed.",The Design of Everyday Things,d2637b7e-c01b-44f1-bef4-57f1c42125ce,369,9.78857E+12,5,Design
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347754998l/1768603.jpg,https://www.google.co.in/books/edition/_/wftxPQAACAAJ?hl=en&sa=X&ved=2ahUKEwiE_8_RspfyAhV4_XMBHY3-C2wQ7_IDMBh6BAgIEAI,78310e8b-620d-4906-9a9d-a6908e126ceb,Aravind Adiga,"Introducing a major literary talent, The White Tiger offers a story of coruscating wit, blistering suspense, and questionable morality, told by the most volatile, captivating, and utterly inimitable narrator that this millennium has yet seen.",The White Tiger,51b7d50c-93d6-4650-86f8-e1c1fc640212,320,8129135616,1,Fiction
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457284924l/25814544._SY475_.jpg,https://www.google.co.in/books/edition/Sprint/ICSpCwAAQBAJ?hl=en&gbpv=1&dq=sprint&printsec=frontcover,db35c160-9a0b-4f0e-8287-cd4680751fa7,"Jake Knapp, John Zeratsky, Brad Kowitz","From three design partners at Google Ventures, a unique five-day process for solving tough problems using design, prototyping, and testing ideas with customers.",Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,c143c295-c481-497d-ab80-cd606c989118,274,9.7815E+12,2,Buisness/Economics
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1216107646l/3320520.jpg,https://www.google.co.in/books/edition/_/wftxPQAACAAJ?hl=en&sa=X&ved=2ahUKEwiE_8_RspfyAhV4_XMBHY3-C2wQ7_IDMBh6BAgIEAI,94afa782-a935-4f33-881e-bd02257cc1c6,Chetan Bhagat,"In late-2000, a young boy in Ahmedabad called Govind dreamt of having a business. To accomodate his friends Ish and Omi's passion, they open a cricket shop. Govind's wants to make money and thinks big. Ish is all about nurturing Ali, the batsman with a rare gift. Omi knows his limited capabiltiies and just wants to be with his friends. However, nothing comes easy in a turbulent city. To realize their goals, they will have to face it all - religious politics, earthquakes, riots, unacceptable love and above all, their own mistakes. Will they make it? Can an individual's dreams overcome the nightmares offered by real life? Can we succeed despite a few mistakes?",The 3 Mistakes of My Life,63ebe5b0-f467-4d54-87c6-c9a1da2ad472,258,9.78099E+12,4,fiction
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384736553l/18197267.jpg,https://www.google.co.in/books/edition/Hooked/dsz5AwAAQBAJ?hl=en&gbpv=1&dq=hooked&printsec=frontcover,26786c5b-0e0c-4519-a1a6-2b086ecb0100,Nir Eyal,"Why do some products capture widespread attention while others flop? What makes us engage with certain products out of sheer habit? Is there a pattern underlying how technologies hook us?Nir Eyal answers these questions (and many more) by explaining the Hook Model—a four-step process embedded into the products of many successful companies to subtly encourage customer behavior. Through consecutive “hook cycles,” these products reach their ultimate goal of bringing users back again and again without depending on costly advertising or aggressive messaging.",Hooked: How to Build Habit-Forming Products,c143c295-c481-497d-ab80-cd606c989118,256,9.78024E+12,4,Buisness/Economics
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384736553l/18197267.jpg,https://www.google.co.in/books/edition/Don_t_Make_Me_Think_Revisited/QlduAgAAQBAJ?hl=en&gbpv=1&dq=don%27t+make+me+think&printsec=frontcover,d6e03f02-7090-43da-9afc-1ecd837261e7,Steve Krug,"Since Don’t Make Me Think was first published in 2000, over 400,000 Web designers and developers have relied on Steve Krug’s guide to help them understand the principles of intuitive navigation and information design.","Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",d2637b7e-c01b-44f1-bef4-57f1c42125ce,216,9.78032E+12,3,Design
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347652925l/148050.jpg,https://www.google.co.in/books/edition/JavaScript/4RChxt67lvwC?hl=en&gbpv=1&dq=javascript+the+definitive+guide&printsec=frontcover,edd22561-5502-4df5-bcad-94e71179ff67,David Flanagan,"This Fifth Edition is completely revised and expanded to cover JavaScript as it is used in today's Web 2.0 applications. This book is both an example-driven programmer's guide and a keep-on-your-desk reference, with new chapters that explain everything you need to know to get the most out of JavaScript",JavaScript: The Definitive Guide,c76baf76-b146-4c2a-9906-4cfc3e23441c,1098,9.7806E+12,4,Javascript
,,,,,,,,9.78933E+12,,
